student_id,gender,branch,tenth_percentage,twelfth_percentage,cgpa,backlogs,internship_done,placed,salary_lpa,specialisation,higher_education
STU1000,Female,CSE,76.6,80.5,7.85,0,1,Yes,13.76,Cybersecurity,No
STU1001,Male,Data Science,75.7,71.7,8.77,0,0,Yes,15.24,NLP Engineer,Yes
STU1002,Male,ECE,85.7,69.3,8.82,0,1,Yes,11.69,Embedded Systems,Yes
STU1003,Male,ECE,73.4,69.3,7.89,0,0,Yes,9.16,Embedded Systems,Yes
STU1004,Male,CSE,58.9,56.8,7.62,0,0,Yes,14.8,UI/UX Design,No
STU1005,Male,CSE,67.9,77.1,6.89,2,0,No,,NA,Yes
STU1006,Male,ECE,63.9,88.7,6.58,0,0,No,,NA,No
STU1007,Male,Mechanical,78.7,59.8,7.2,0,0,Yes,9.43,Business Intelligence Analyst,No
STU1008,Female,AIML,79.1,62.5,6.91,0,1,Yes,15.36,Data Scientist,No
STU1009,Female,Data Science,72.0,71.1,7.74,0,0,Yes,17.12,MLOps Engineer,Yes
STU1010,Male,EEE,96.5,73.9,6.86,0,0,Yes,10.42,Cybersecurity,No
STU1011,Male,Data Science,86.2,61.8,6.45,1,0,Yes,12.06,MLOps Engineer,No
STU1012,Female,Data Science,58.4,60.7,7.59,0,1,Yes,15.82,NLP Engineer,Yes
STU1013,Male,Mechanical,85.4,75.7,7.58,0,0,Yes,9.68,Cloud & DevOps,Yes
STU1014,Male,Data Science,75.0,59.2,7.3,2,0,Yes,15.15,Product Management,No
STU1015,Male,Data Science,73.4,84.6,6.75,0,1,Yes,14.36,Data Scientist,Yes
STU1016,Female,Mechanical,60.4,77.2,7.71,0,0,No,,NA,No
STU1017,Female,Civil,71.2,80.1,7.05,0,1,No,,NA,Yes
STU1018,Male,IT,87.3,65.6,8.33,0,0,Yes,14.51,Full Stack Development,Yes
STU1019,Male,AIDS,81.3,83.8,7.12,0,0,Yes,16.82,Data Analyst,Yes
STU1020,Female,Civil,76.1,62.9,6.97,1,0,No,,NA,No
STU1021,Female,ECE,86.1,87.6,6.32,1,0,No,,NA,Yes
STU1022,Female,Mechanical,88.0,77.6,7.34,0,0,No,,NA,No
STU1023,Female,IT,81.6,89.4,6.82,1,0,No,,NA,No
STU1024,Male,Civil,93.6,50.0,7.37,0,0,Yes,5.28,Machine Learning Engineer,No
STU1025,Female,IT,78.9,71.0,8.14,0,0,Yes,10.68,Data Scientist,Yes
STU1026,Male,CSE,58.1,71.8,7.48,0,0,Yes,11.67,Data Analyst,No
STU1027,Female,Data Science,92.8,68.8,7.72,0,0,Yes,16.92,Data Scientist,Yes
